typo,benar
abu,bau
sru,kru
eluih,keluih
melopmong,melompong
menggeekkan,menggelekkan
regionailsme,regionalisme
mengindhkan,mengindahkan
menggemarka,menggemarkan
cku,cuku
elun,elung
gelng,gelang
sep,step
yeunum,yeyunum
ekparat,keparat
mensyqrikkan,mensyirikkan
ktstel,kastel
jaakan,ajakan
eplaju,pelaju
bperkedut,berkedut
mengernlyut,mengernyut
abmet,abet
magsa,masa
lebk,lebuk
psoksi,proksi
mgnyeligit,menyeligit
mmeagarkan,memagarkan
gejnur,genjur
temseng,teseng
merangh,merangah
dabaran,dataran
soran,soren
rarowon,arowon
waal,awal
segngeruk,senggeruk
iiografik,idiografik
membeliakn,membelikan
boodran,bodoran
rbini,bini
penqgusap,pengusap
blbur,blabur
kelu,kelui
ayot,gayot
waasan,wadasan
tiitrimetri,titrimetri
rebong,rembong
lfanelet,flanelet
ewsplosif,eksplosif
anaksis,anakusis
pelitiran,pelintiran
psikonuerologi,psikoneurologi
ksemaran,kesmaran
alinganq,alingan
minggun,mingguan
mencajndu,mencandu
setpri,sekpri
pn,upn
irau,riau
menkruh,menaruh
lpirs,lpir
gelecdang,geledang
lupuvt,luput
eangka,sangka
delah,belah
keel,ketel
oak,otak
pemahamnn,pemahaman
umin,rumin
mengebawahkzn,mengebawahkan
ptebing,tebing
ungka,angka
wghoib,ghoib
radiopka,radiopak
kelopmok,kelompok
hmenyetrika,menyetrika
pasu,palsu
dleepak,delepak
hraaun,haraun
itneres,interes
besralto,bersalto
enyebelah,menyebelah
tati,tatai
aidl,adil
amaanh,amanah
truriang,turiang
kromatoror,kromatofor
tefgap,tegap
selibht,selibat
demabrasei,demabrasi
meelwati,melewati
mnggilapkan,menggilapkan
dazping,damping
itndan,tindan
masturbasw,masturbasi
mepnggaruk,menggaruk
olgopoli,oligopoli
safrana,sarana
baogn,baong
klop,kelop
berjafur,berjamur
rubunu,rubung
ingmlik,ingklik
seperunbjungan,seperunjungan
kedat,kesat
berkelebvat,berkelebat
memsauki,memasuki
peridal,perihal
tookng,tokong
enda,lenda
mangkau,jangkau
keliat,kelipat
teknkrat,teknokrat
bgercecah,bercecah
emact,emat
